Episode,Reward,Length,TD_Error
775,-839.0,200,147.52996903683817
776,-749.0,200,249.63735340906422
777,-794.0,200,179.4800166396189
778,-740.0,200,123.66616960524317
779,-785.0,200,205.91416616402597
780,-740.0,200,109.09606558394029
781,-830.0,200,190.63000891126762
782,-794.0,200,146.8112793084934
783,-749.0,200,144.58077179579664
784,-785.0,200,106.22452580237467
785,-722.0,200,172.29071756282553
786,-848.0,200,148.83196012305632
787,-767.0,200,119.52544753694946
788,-875.0,200,149.57267268588976
789,-848.0,200,161.93178397763387
790,-857.0,200,248.53456518198283
791,-659.0,200,130.32287555530633
792,-731.0,200,120.53997103491571
793,-794.0,200,182.75649643942666
794,-722.0,200,95.6753487794175
795,-740.0,200,130.3894998560972
796,-821.0,200,140.11664235536432
797,-731.0,200,139.66060460651386
798,-758.0,200,117.50649327836766
799,-749.0,200,178.74666040907732
800,-438.0,126,65.53377386837155
801,-794.0,200,103.61085957005412
802,-875.0,200,216.4813163424106
803,-803.0,200,99.70861283459391
804,-857.0,200,187.6245842205597
805,-848.0,200,242.82927408055906
806,-875.0,200,203.21344646942936
807,-821.0,200,329.17903024091044
808,-830.0,200,172.8397090136245
809,-803.0,200,246.42297841204214
810,-929.0,200,242.00145157753417
811,-812.0,200,167.29866128090208
812,-830.0,200,184.66216579496955
813,-749.0,200,203.66592388328596
814,-794.0,200,159.2150162390069
815,-785.0,200,162.00870493639684
816,-767.0,200,154.75903986165628
817,-803.0,200,123.57717174143781
818,-857.0,200,107.60387603566079
819,-812.0,200,193.22382986259925
820,-812.0,200,160.20752097309378
821,-785.0,200,207.02658233007867
822,-749.0,200,92.96348349879185
823,-731.0,200,104.2970392698598
824,-794.0,200,113.90828188089807
